;CD_PARAMETRE;LB_PARAMETRE;NOM_PARAM2;CODE_FAMILLE;CODE_FONCTION;STATUT;METABOLITE;PARENT;NOM_PARENT;CODE_CAS;DATE_NA_USAGE;FORMULEB;NORME_DCE
0;1197;Heptachlore;Heptachlore;Organochlorés;I;PNA;;;;76-44-8;;C10H5Cl7;0.03
1;1748;Heptachlore époxyde cis;Heptachlore époxyde cis;Organochlorés;I;PNA;;;;1024-57-3;;;0.03
2;1749;Heptachlore époxyde trans;Heptachlore époxyde trans;Organochlorés;I;PNA;;;;28044-83-9;;;0.03
3;1103;Aldrine;Aldrine;Organochlorés;I;PNA;;;;309-00-2;1994-04-10 00:00:00;C12H8Cl6;0.03
4;1173;Dieldrine;Dieldrine;Organochlorés;I;PNA;;;;60-57-1;1994-04-10 00:00:00;C12H8Cl6O;0.03
5;1083;Chlorpyriphos-éthyl;Chlorpyriphos-éthyl;Organophosphorés;I;PA;;;;2921-88-2;;C9H11Cl3NO3PS;0.1
6;1475;Code gelé en 1998 (Chlorpyrifos);;Organophosphorés;;;;;;;;;0.1
7;1092;Prosulfocarbe;Prosulfocarbe;Carbamates;H;PA;;;;52888-80-9;;C14H21NOS;0.1
8;1093;Thiodicarbe;Thiodicarbe;Carbamates;IM;PNA;;;;59669-26-0;11/20/2008;C10H18N4O4S3;0.1
9;1094;Lambda-cyhalothrine;Lambda-cyhalothrine;Divers (organiques);I;PA;;;;91465-08-6;;C23H19ClF3NO3;0.1
10;1100;Acéphate;Acéphate;Organophosphorés;I;PNA;;;;30560-19-1;9/26/2004;C4H10NO3PS;0.1
11;1101;Alachlore;Alachlore;Divers (organiques);H;PNA;;;;15972-60-8;6/18/2008;C14H20ClNO2;0.1
12;1102;Aldicarbe;Aldicarbe;Carbamates;IN;PNA;;;;116-06-3;12/31/2007;C7H14N2O2S;0.1
13;1104;Amétryne;Amétryne;Triazines et métabolites;H;PNA;;;;834-12-8;2003-01-10 00:00:00;C9H17N5S;0.1
14;1105;Aminotriazole;Aminotriazole;Azoles;H;PA;;;;61-82-5;;C2H4N4;0.1
15;1107;Atrazine;Atrazine;Triazines et métabolites;H;PNA;;;;1912-24-9;2003-01-10 00:00:00;C8H14ClN5;0.1
