;CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014
0;06521X0019/SCE;01125;CORVEISSIAT;01;AERM&C;459.0;;01125_ _FRDG140;888869.860702;6577473.5491;;DG140;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;
1;07015X0009/F;01133;CRESSIN-ROCHEFORT;01;AERM&C;229.0;15.2;01133_FRDG511_FRDG330;916062.939502;6525297.8829;DG330;DG330;Hors RCS et RCO;;;;;;oui;;;;;;;
2;07015X0010/P;01133;CRESSIN-ROCHEFORT;01;AERM&C;229.8;16;01133_FRDG511_FRDG330;915390.033302;6524380.2369;DG330;DG330;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
3;07011X0009/F;01138;CULOZ;01;AERM&C;236.0;17;01138_FRDG511_FRDG330;916376.604002;6530993.3539;DG330;DG330;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;
4;06991X0001/S;01142;DAGNEUX;01;AERM&C;196.0;22;01142_FRDG240_FRDG390;861009.219501;6528387.2529;DG390;DG390;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;;;oui;oui;oui;oui;oui
5;06291X0007/HY;01143;DIVONNE-LES-BAINS;01;AERM&C;570.0;;01143_FRDG208_FRDG517;940099.105102;6589331.6931;;DG517;Hors RCS et RCO;;;;;;oui;;;;;;;
6;06291X0008/143C;01143;DIVONNE-LES-BAINS;01;AERM&C;490.8;;01143_FRDG208_FRDG517;942142.727102;6590702.7568;DG517;DG517;Hors RCS et RCO;;;;;;;oui;;;;;;
7;06291X0005/143B2;01143;DIVONNE-LES-BAINS;01;AERM&C;640.0;;01143_FRDG208_FRDG517;941809.979802;6589484.8178;DG517;DG517;Hors RCS et RCO;;;;;;oui;;oui;;;;;
8;06295X0006/F2;01143;DIVONNE-LES-BAINS;01;AERM&C;490.0;199;01143_FRDG208_FRDG517;940312.242502;6590428.1128;DG208;DG517;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;
9;06277X0076/F1;01148;DORTAN;01;AERM&C;305.0;20.7;01148_ _FRDG149;900807.654302;6581078.64;DG149;DG149;Hors RCS et RCO;;;;;;oui;;oui;;;;;
