CAS;Type
10004-44-1;III
10071-13-3;U
101-05-3;O
101-21-3;U
101-27-9;O
101-42-8;O
101007-06-1;U
10112-91-1;II
101205-02-1;III
1014-69-3;O
1014-70-6;II
101463-69-8;III
10265-92-6;Ib
102851-06-9;III
103-17-3;O
1031-47-6;O
10311-84-9;O
103112-35-2;U
10380-28-6;U
104030-54-8;U
10453-86-8;III
104653-34-1;Ia
10537-47-0;O
10552-74-6;U
106-46-7;II
106040-48-6;U
10605-21-7;U
107-02-8;Ib
107-06-2;FM
107-13-1;O
107-18-6;Ib
107-49-3;O
1071-83-6;III
107534-96-3;II
108-25-8;O
108-62-3;II
108173-90-6;II
1085-98-9;U
1086-02-8;O
110235-47-7;U
110488-70-5;U
1113-02-6;Ib
1114-71-2;II
111479-05-1;U
111988-49-9;II
111991-09-4;U
112-12-9;III
112143-82-5;II
112226-61-6;III
112281-77-3;II
112410-23-8;U
112839-32-4;O
1129-41-5;II
113-48-4;III
113036-87-6;U
1134-23-2;III
114-26-1;II
114369-43-6;III
115-26-4;O
115-29-7;II
115-31-1;O
115-32-2;II
115-78-6;II
115-90-2;O
116-01-8;O
116-06-3;Ia
116-16-5;O
116-29-0;U
116170-30-0;O
116255-48-2;II
116714-46-6;U
117-18-0;U
118-74-1;Ia
118-75-2;O
118134-30-8;II
118712-89-3;U
119-12-0;II
119168-77-3;II
1194-65-6;III
119446-68-3;II
119738-06-6;II
120-23-0;II
120-62-7;O
12002-03-8;Ib
120068-37-3;II
120162-55-2;U
12057-74-8;FM
12071-83-9;U
120928-09-8;II
121-75-5;III
12122-67-7;U
121451-02-3;U
122-14-5;II
122-34-9;U
122-42-9;U
122-88-3;III
122008-85-9;U
122453-73-0;II
122931-48-0;U
123-33-1;U
123-88-6;O
123343-16-8;III
124-58-3;II
12407-86-2;O
12427-38-2;U
124495-18-7;U
125-67-9;II
125116-23-6;II
125401-75-4;III
126-07-8;O
126-22-7;O
126-75-0;O
126535-15-7;U
126833-17-8;U
12771-68-5;III
130000-40-7;U
1303-96-4;III
13067-93-1;O
13071-79-9;Ia
131-11-3;U
131-89-5;O
13121-70-5;II
131341-86-1;U
1314-84-7;Ib
1317-39-1;II
13171-21-6;Ia
131807-57-3;U
13181-17-4;O
131860-33-8;U
131929-60-7;U
131929-63-0;U
13194-48-4;Ia
131983-72-7;III
132-66-1;U
1327-53-3;O
133-06-2;U
133-07-3;U
133-90-4;O
1332-40-7;II
13356-08-6;III
13360-45-7;O
134-31-6;O
134-62-3;III
134098-61-6;II
13457-18-6;II
13516-27-3;II
13577-71-4;O
13593-03-8;II
13598-36-2;U
136-25-4;O
136191-56-5;U
13684-56-5;U
13684-63-4;U
136849-15-5;U
137-26-8;II
137-30-4;II
137-42-8;II
138164-12-2;II
138261-41-3;II
139-40-2;U
13952-84-6;II
139528-85-1;U
140-41-0;O
140-56-7;O
140-57-8;O
140923-17-7;U
141-03-7;O
141-66-2;Ib
141517-21-7;U
142-59-6;II
1420-06-3;O
1420-07-1;Ib
14214-32-5;O
142459-58-3;II
14255-88-0;O
143-33-9;Ib
143-50-0;O
14437-17-3;O
144740-54-5;U
14484-64-1;U
14491-59-9;O
145701-21-9;U
145701-23-1;U
1468-37-7;O
14750-35-4;U
148-79-8;III
14816-18-3;II
14816-20-7;O
149-26-8;O
149253-65-6;U
149877-41-8;U
150-68-5;O
150114-71-9;U
15096-52-3;U
152-16-9;O
15263-53-3;II
15299-99-7;U
15302-91-7;II
15310-01-7;O
15457-05-3;O
15545-48-9;U
156-62-7;O
156052-68-5;U
1563-66-2;Ib
1582-09-8;U
15845-66-2;U
15879-93-3;II
1593-77-7;U
1596-84-5;U
15972-60-8;II
1610-17-9;O
1610-18-0;III
161050-58-4;U
16118-49-3;U
1646-88-4;O
16484-77-8;II
16672-87-0;III
16752-77-5;Ib
168316-95-8;III
1689-83-4;II
1689-84-5;II
16893-85-9;O
1698-60-8;III
17029-22-0;O
17040-19-6;O
17109-49-8;Ib
1715-40-8;O
173584-44-6;II
1746-81-2;III
1754-58-1;O
17606-31-4;II
17804-35-2;U
178928-70-6;U
181274-17-9;U
18181-70-9;O
