NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
;;;;10261X0039/F3;31;;AEAG;10.0;33;Hors RCS et RCO;;;;;;oui;;;;;;;;10261X0039/F3;-1.36308121012;-5.98385630921
;;;CG004;01688X0034/AVAL;33;;AERM;235.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;01688X0034/AVAL;-1.36308121012;-5.98385630921
;;;CG004;01688X0039/F1;32;;AERM;170.0;80;Hors RCS et RCO;;;;;;oui;;oui;;;;;;01688X0039/F1;-1.36308121012;-5.98385630921
01;AMBERIEU-EN-BUGEY;DG149;DG149;06758X0052/HY;34;01004;AERM&C;310.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;06758X0052/HY;5.36469511404;45.9712376427
01;AMBLEON;DG149;DG149;07007X0001/006A;35;01006;AERM&C;420.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;07007X0001/006A;5.57920725651;45.7536265801
01;AMBRONAY;DG389;;06754X0040/007A;36;01007;AERM&C;243.0;12.5;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;06754X0040/007A;5.3314414812;45.9994318369
01;AMBRONAY;DG389;DG389;06754X0065/P2;37;01007;AERM&C;243.0;21;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;;06754X0065/P2;5.31457812135;45.9949511342
01;AMBRONAY;DG389;DG389;06754X0071/P00060;38;01007;AERM&C;243.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;06754X0071/P00060;5.34427492816;45.9848443524
01;AMBUTRIX;DG240;DG389;06758X0059/HY;39;01008;AERM&C;276.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;06758X0059/HY;5.35148142338;45.9393697315
01;ANGLEFORT;DG148;DG148;07011X0028/HY;40;01010;AERM&C;770.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;07011X0028/HY;5.79000107015;45.9367399642
01;ANGLEFORT;DG330;;06775X0007/P2;41;01010;AERM&C;245.0;19.5;Hors RCS et RCO;;;;;;;oui;;;;;;;06775X0007/P2;5.81214221203;45.8912908194
01;ARANC;DG149;DG149;06762X0022/P;42;01012;AERM&C;763.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;;06762X0022/P;5.55243847399;46.0095445451
01;ARGIS;DG149;DG149;06766X0020/017A;43;01017;AERM&C;308.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;06766X0020/017A;5.47476758035;45.9289266959
